Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
32053578111,"PINKERTON'S DISTILLERY, LLC",8608 GENEVA AVE,LUBBOCK,TX,79423,152,2,"PINKERTON'S DISTILLERY, LLC",8901 HIGHWAY 87 # 123,LUBBOCK,TX,79423,152,N,D 907659,09/01/2015,,10/31/2017,$0,$0,$0,$0,$0
12049248250,"NW BOULEVARD, LLC",15013 NORTHWEST BLVD STE 109,CORPUS CHRISTI,TX,78410,178,1,GARAGE BAR & GRILL,15013 NORTHWEST BLVD STE 109,CORPUS CHRISTI,TX,78410,178,Y,MB631481,06/22/2006,,10/31/2017,$16799,$0,$22456,$0,$39255
32063003845,TUPELO HONEY HOSPITALITY CORPORATION,1200 RIDGEFIELD BLVD STE 290,ASHEVILLE,NC,28806,0,1,TUPELO HONEY SOUTHERN KITCHEN & BAR,6725 WINNING DR STE 700,FRISCO,TX,75034,43,Y,RM989165,07/21/2017,,10/31/2017,$54814,$51495,$14825,$0,$121134
32043785867,THE DALLAS RIPARIAN CLUB LLC,146 WESTCOTT ST STE 200,HOUSTON,TX,77007,101,1,THE DALLAS RIPARIAN CLUB LLC,13131 N CENTRAL EXPY,DALLAS,TX,75243,57,Y,RM773310,04/20/2011,,10/31/2017,$9484,$3217,$6309,$2492,$21502
32021409894,"CENTER STREET STATION, LLC",1840 NORWOOD PLZ STE 101,HURST,TX,76054,220,1,"CENTER STREET STATION, LLC",224 N CENTER ST,ARLINGTON,TX,76011,220,Y,MB774316,05/05/2011,,10/31/2017,$0,$0,$0,$0,$0
32043250599,"STONE WERKS GRILLE @ HEIGHTS, LLC",4726 COLLEGE PARK,SAN ANTONIO,TX,78249,15,1,STONE WERKS BIG ROCK GRILLE,999 E BASSE RD,SAN ANTONIO,TX,78209,15,Y,MB786947,10/07/2011,,10/31/2017,$42358,$30609,$43469,$0,$116436
12638845409,"HOWA, INC.",11200 BROADWAY ST STE 400,PEARLAND,TX,77584,20,1,MONGO,11200 BROADWAY ST STE 400,PEARLAND,TX,77584,20,Y,RM728992,08/13/2009,,10/31/2017,$9383,$1366,$1678,$0,$12427
17605613334,KAISERHOF INC.,10630 COMMERCE ROW # 1,MONTGOMERY,TX,77356,170,1,KAISERHOF RESTAURANT,10630 COMMERCE ROW,MONTGOMERY,TX,77356,170,N,MB430365,05/01/2009,,10/31/2017,$0,$0,$0,$0,$0
12616928045,"7 LEGUAS MEXICAN RESTAURANT, INC.",15949 HIGHWAY 105 W STE 66,MONTGOMERY,TX,77356,170,2,7 LEGUAS MEXICAN RESTAURANT,15949 HIGHWAY 105 W,MONTGOMERY,TX,77356,170,Y,MB686995,02/04/2014,,10/31/2017,$55762,$0,$13070,$0,$68832
32061433226,"BETO BEVERAGE COMPANY, LLC",425 BEDFORD ST,DALLAS,TX,75212,57,1,BETO & SON MEXICAN MEXICAN RESTAURANT,3011 GULDEN LN STE 108,DALLAS,TX,75212,57,Y,RM963230,11/03/2016,,10/31/2017,$127192,$4061,$13400,$0,$144653
